"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.967990994E1,3.053830634E1,1.143562497E2,2.489300519E1,4.728395581E-1,9.729572185E1,1.421849175E1,1.011213755E1
8.067988741E1,3.053830562E1,1.143562566E2,2.499018571E1,6.072028531E-1,9.914627205E1,1.421938999E1,1.011087443E1
8.167986572E1,3.053830509E1,1.143562682E2,2.455290075E1,7.526526523E-1,9.657504863E1,1.422056989E1,1.010921487E1
8.267984259E1,3.053830146E1,1.143562752E2,2.476921762E1,7.694139585E-1,9.930518127E1,1.422169976E1,1.010762530E1
8.367981780E1,3.053829904E1,1.143562835E2,2.458426130E1,7.170339110E-1,1.020099662E2,1.422227931E1,1.010680982E1
8.467979431E1,3.053829759E1,1.143562929E2,2.428690012E1,7.663943171E-1,1.008482084E2,1.422268800E1,1.010623468E1
8.567977154E1,3.053829619E1,1.143563021E2,2.430368386E1,6.989762043E-1,9.977942964E1,1.422306437E1,1.010570498E1
8.667974722E1,3.053829430E1,1.143563079E2,2.416215826E1,5.833776903E-1,9.978176600E1,1.422372393E1,1.010477664E1
8.767972374E1,3.053829214E1,1.143563214E2,2.422382822E1,8.733897339E-1,9.982223152E1,1.422459019E1,1.010355716E1
8.867969871E1,3.053829354E1,1.143563298E2,2.390352792E1,7.399406798E-1,9.530822662E1,1.422499160E1,1.010299200E1
8.967967355E1,3.053829163E1,1.143563362E2,2.377642562E1,6.465839423E-1,9.754061915E1,1.422553711E1,1.010222387E1
9.067964971E1,3.053829303E1,1.143563405E2,2.367194861E1,4.427920440E-1,9.177510970E1,1.422597239E1,1.010161091E1
9.167962456E1,3.053829142E1,1.143563511E2,2.355127520E1,6.182774263E-1,9.374180949E1,1.422619932E1,1.010129132E1
9.267959988E1,3.053829050E1,1.143563572E2,2.382411486E1,6.083238930E-1,9.322228182E1,1.422632616E1,1.010111268E1
9.367957389E1,3.053829149E1,1.143563640E2,2.379554955E1,6.129609410E-1,9.070660618E1,1.422679815E1,1.010044789E1
9.467955041E1,3.053828868E1,1.143563764E2,2.386422037E1,8.956698850E-1,9.295609415E1,1.422755321E1,1.009938428E1
9.567952406E1,3.053828404E1,1.143563934E2,2.434858234E1,1.306433249E0,9.787563289E1,1.422679315E1,1.010045493E1
9.667949831E1,3.053827951E1,1.143564161E2,2.464500168E1,1.764992633E0,9.920705816E1,1.422409035E1,1.010426084E1
